src_port,dst_port,packet_size,protocol,label
443,25,626,6,Brute Force
22,25,989,6,DDoS Attack
8080,53,677,6,Malware Detected
80,25,920,6,Malware Detected
443,21,725,6,Brute Force
3389,21,1047,6,Malware Detected
80,53,1109,17,Brute Force
3389,53,1406,17,Brute Force
80,443,629,6,DDoS Attack
443,80,1086,6,Malware Detected
80,80,523,6,Malware Detected
3389,443,1498,17,Unauthorized Access
8080,21,833,6,Brute Force
8080,53,573,6,Malware Detected
22,53,775,6,DDoS Attack
443,25,1154,6,DDoS Attack
8080,443,642,17,DDoS Attack
8080,53,1363,17,Brute Force
443,25,949,17,Unauthorized Access
443,443,1278,17,Brute Force
80,25,563,17,Malware Detected
443,53,1364,6,Unauthorized Access
8080,80,1492,6,Malware Detected
3389,53,905,17,Unauthorized Access
22,21,1187,6,Brute Force
80,53,1114,6,DDoS Attack
22,53,783,17,Malware Detected
22,25,1433,17,Malware Detected
8080,53,1469,6,Unauthorized Access
3389,25,775,6,DDoS Attack
3389,80,576,17,Malware Detected
8080,443,1210,17,Malware Detected
22,21,676,6,DDoS Attack
80,53,1468,17,DDoS Attack
80,80,715,6,Brute Force
3389,53,1340,17,Brute Force
80,53,557,6,Malware Detected
443,80,526,6,Brute Force
3389,21,653,6,DDoS Attack
3389,53,1214,6,Brute Force
3389,80,1302,17,Unauthorized Access
80,443,1375,17,Brute Force
22,25,1015,6,Brute Force
3389,80,1215,17,DDoS Attack
80,443,1099,17,DDoS Attack
3389,21,666,6,DDoS Attack
22,21,965,6,Unauthorized Access
22,21,1448,6,Brute Force
3389,80,842,6,Unauthorized Access
22,53,841,6,Unauthorized Access
8080,443,569,17,DDoS Attack
443,53,823,6,Unauthorized Access
443,21,1296,17,Malware Detected
3389,25,892,6,Malware Detected
8080,443,1281,6,DDoS Attack
22,21,872,6,Brute Force
22,21,825,17,Brute Force
3389,80,1375,17,Malware Detected
443,25,1006,6,Malware Detected
8080,53,1307,17,Malware Detected
8080,25,1273,6,Malware Detected
8080,21,1395,6,Unauthorized Access
80,80,739,17,Malware Detected
80,25,1442,17,DDoS Attack
3389,443,686,17,Malware Detected
443,25,1168,6,Brute Force
443,25,969,6,Unauthorized Access
8080,443,1287,17,Malware Detected
80,443,942,17,DDoS Attack
8080,80,857,17,Unauthorized Access
3389,53,781,6,Unauthorized Access
