Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Attack on Austrian foreign ministry,2/13/2020,Turla,The suspected Russian hackers conducted a weeks-long attack on Austria’s foreign ministry.,Confirmation   https://www.theregister.co.uk/2020/02/14/austria_foreign_ministry_hack_turla_group_allegs/,Austrian Foreign Ministry,Russian Federation,Espionage,Government,https://www.theregister.co.uk/2020/02/14/austria_foreign_ministry_hack_turla_group_allegs/,https://www.bmeia.gv.at/en/the-ministry/press/announcements/2020/02/cyber-attack-on-the-foreign-ministry-is-over/,
Spear-phishing campaign against unnamed U.S. government agency,1/23/2020,Konni Group,The suspected North Korean threat actor Konni Group attempted to trick employees of an unnamed U.S. government agency to install malware on their computers via a spear-phishing campaign.,,Employees of the U.S. government,Korea (Democratic People's Republic of),Espionage,Government,https://unit42.paloaltonetworks.com/the-fractured-statue-campaign-u-s-government-targeted-in-spear-phishing-attacks/#Attribution,,
Australian Signals Directorate,4/6/2020,,Responsible for attacking infrastructure that cyber criminals abroad were using to target Australians during the COVID-19 pandemic.,,,Australia,Data destruction,Private sector,https://www.minister.defence.gov.au/minister/lreynolds/media-releases/offensive-against-covid-19-cyber-criminals,https://www.zdnet.com/article/australia-on-the-cyber-offence-to-bring-down-covid-19-scammers/,
Catfishing of Israeli soldiers,2/16/2020,APT-C-23,The Hamas-associated threat actor APT-C-23 targeted Israeli soldiers by pretending to be women looking for romantic partners. Duped soldiers were then enticed to download apps that contained spyware onto their phones.,Hack Back   https://www.bleepingcomputer.com/news/security/hacker-group-catfishes-israeli-soldiers-into-installing-mobile-rat/,Israeli Defense Forces (IDF) soldiers,"Palestine, State of",Espionage,Military,https://www.bleepingcomputer.com/news/security/hacker-group-catfishes-israeli-soldiers-into-installing-mobile-rat/,https://research.checkpoint.com/2020/hamas-android-malware-on-idf-soldiers-this-is-how-it-happened/,
Targeting of U.S. companies and government agencies,8/10/2020,Fox Kitten,"Iranian hackers attacked high-end networking equipment with recently reported vulnerabilities that had not yet been patched, providing a “beachhead” for peer hacking groups.",,"U.S. government agencies, U.S. companies",Iran (Islamic Republic of),Espionage,"Government, Private sector",https://www.cybersafe.news/fbi-warns-about-iranian-hacking-group-attacking-f5-networking-devices/,https://www.zdnet.com/article/fbi-says-an-iranian-hacking-group-is-attacking-f5-networking-devices/,
Tracking of Saudi Arabian citizens in the United States,3/29/2020,Government of Saudi Arabia,The Saudi Arabian government used flaws in the global Signaling System 7 (SS7) to track Saudis in the United States by sending requests through Saudi phone companies.,,Saudi Arabian citizens in the Untied States,Saudi Arabia,Espionage,Private sector,https://www.theguardian.com/world/2020/mar/29/revealed-saudis-suspected-of-phone-spying-campaign-in-us,https://techcrunch.com/2020/03/29/saudi-spies-ss7-phone-tracking/,
Targeting of global financial institutions,5/12/2020,Hidden Cobra,"Hidden Cobra used a variety of malware tools to hack into and steal money from banks, cryptocurrency exchanges, and ATMs.",Denouncement   https://us-cert.cisa.gov/ncas/analysis-reports/ar20-133a,Global financial institutions,Korea (Democratic People's Republic of),Financial Theft,Private sector,https://www.cyberscoop.com/north-korea-hacking-hidden-cobra-dhs-fbi/,https://us-cert.cisa.gov/northkorea,
Pioneer Kitten,8/31/2020,"Also known as Parasite, UNC757, and Fox Kitten.","Responsible for gathering sensitive and private information relevant to Iran. In addition to stalking Iranian expats and dissidents, Pioneer Kitten has targeted North American and Israeli technology, government, defense, and healthcare organizations. Pioneer Kitten is unlikely to be an official part of the Iranian government, and is more likely contracted to act on its behalf.",,"Iranian expats and dissidents, North American and Israeli organizations",Iran (Islamic Republic of),Espionage,"Civil society, Private sector, Government",https://www.crowdstrike.com/blog/who-is-pioneer-kitten/,,
Targeting of Burisma,1/13/2020,APT 28,"The alleged Russian actors hacked Burisma, a Ukrainian gas company whose board Joe Biden’s son sat on. President Trump had previously pressed Ukraine to open an investigation into Biden and Burisma, which led to his impeachment.",,Burisma,Russian Federation,Espionage,Private sector,https://www.bbc.com/news/world-us-canada-51103556,https://www.nytimes.com/2020/01/13/us/politics/russian-hackers-burisma-ukraine.html,
Targeting of  New York Times journalist Ben Hubbard,1/28/2020,KINGDOM,The Saudi hackers KINGDOM launched a phishing attack to attempt to trick  journalist Ben Hubbard into installing NSO Group’s Pegasus malware onto his phone. Hubbard does not recall clicking on the infected link sent to him via text message and it is unknown if his phone was infected.,,Ben Hubbard,Saudi Arabia,Espionage,Civil society,https://citizenlab.ca/2020/01/stopping-the-press-new-york-times-journalist-targeted-by-saudi-linked-pegasus-spyware-operator/,,
Targeting of Israeli water management facilities,7/17/2020,Believed to be the work of the Iranian government.,Hackers targeted two water pumps in Galilee and Mateh Yehuda. No real-world effects were reported as a result of the hacking operation. Israel's government stated that no data had been stolen.,Confirmation   https://www.ynet.co.il/article/rJrCqmAkw,Israel,Iran (Islamic Republic of),Sabotage,Government,https://www.ynet.co.il/article/rJrCqmAkw,https://www.zdnet.com/article/two-more-cyber-attacks-hit-israels-water-system,
Targeting of Arabic speakers with COVID-19–related apps,4/15/2020,Syrian Electronic Army,The Syrian Electronic Army distributed numerous COVID-19–themed Android mobile apps to Arabic-speaking users.,,Arabic speakers in Syria and surrounding region,Syrian Arab Republic,Espionage,Civil society,https://www.cyberscoop.com/coronavirus-syria-surveillance-apps-lookout/,https://blog.lookout.com/nation-state-mobile-malware-targets-syrians-with-covid-19-lures,
